_id,bgg_user_name
5fd6487e0d3001ac301223ef,microcline
5fd6487e0d3001ac301223f0,mtmertmd
5fd6487e0d3001ac301223f1,regine
5fd6487e0d3001ac301223f2,nat the nut
5fd6487e0d3001ac301223f3,kd5dgh
5fd6487e0d3001ac301223f4,jtong77
5fd6487e0d3001ac301223f5,greg foster
5fd6487e0d3001ac301223f6,droopy
5fd6487e0d3001ac301223f7,ajbmaster
5fd6487e0d3001ac301223f8,bloodeisen
5fd6487e0d3001ac301223f9,franz64
5fd6487e0d3001ac301223fa,nagawa hirokazu
5fd6487e0d3001ac301223fb,t_s_sullivan
5fd6487e0d3001ac301223fc,okosp
5fd6487e0d3001ac301223fd,xoff
5fd6487e0d3001ac301223fe,le jedi fou
5fd6487e0d3001ac301223ff,arixius
5fd6487e0d3001ac30122400,notanseladams
5fd6487e0d3001ac30122401,karmic_devil
5fd6487e0d3001ac30122402,jonjacobmoon
5fd6487e0d3001ac30122403,bort
5fd6487e0d3001ac30122404,mktacoma
5fd6487e0d3001ac30122405,ubik
5fd6487e0d3001ac30122406,ian_d_burrell
5fd6487e0d3001ac30122407,thetalkingstove
5fd6487e0d3001ac30122408,mummelmongo
5fd6487e0d3001ac30122409,pirrekurr
5fd6487e0d3001ac3012240a,yamilyon
5fd6487e0d3001ac3012240b,blazetk
5fd6487e0d3001ac3012240c,gpogue
5fd6487e0d3001ac3012240d,daitheflea
5fd6487e0d3001ac3012240e,gunstherapy
5fd6487e0d3001ac3012240f,thelastemperor
5fd6487e0d3001ac30122410,frunit7
5fd6487e0d3001ac30122411,shawn082
5fd6487e0d3001ac30122412,graceless
5fd6487e0d3001ac30122413,bloody1337
5fd6487e0d3001ac30122414,thebigredpony
5fd6487e0d3001ac30122415,kaledin
5fd6487e0d3001ac30122416,mdornbrook
5fd6487e0d3001ac30122417,juniperforcella
5fd6487e0d3001ac30122418,ojcall
5fd6487e0d3001ac30122419,estolan
5fd6487e0d3001ac3012241a,sabratha
5fd6487e0d3001ac3012241b,canadianbacon19
5fd6487e0d3001ac3012241c,chronoshift
5fd6487e0d3001ac3012241d,dbrubeck
5fd6487e0d3001ac3012241e,vlnci
5fd6487e0d3001ac3012241f,greidenb
5fd6487e0d3001ac30122420,lordofgalaxy
5fd6487e0d3001ac30122421,cardboardclover
5fd6487e0d3001ac30122422,lacapitana
5fd6487e0d3001ac30122423,joeaverage
5fd6487e0d3001ac30122424,chlikaflok
5fd6487e0d3001ac30122425,theblib
5fd6487e0d3001ac30122426,evanmistur
5fd6487e0d3001ac30122427,poskasto
5fd6487e0d3001ac30122428,blackemperor
5fd6487e0d3001ac30122429,sheila42oneill
5fd6487e0d3001ac3012242a,teetuz
5fd6487e0d3001ac3012242b,arkanejel
5fd6487e0d3001ac3012242c,hexijester
5fd6487e0d3001ac3012242d,billy_rpg
5fd6487e0d3001ac3012242e,edmonton911
5fd6487e0d3001ac3012242f,linguistfromhell
5fd6487e0d3001ac30122430,laerthes
5fd6487e0d3001ac30122431,sheezta
5fd6487e0d3001ac30122432,pegasus65
5fd6487e0d3001ac30122433,the diamond geezer
5fd6487e0d3001ac30122434,scevola
5fd6487e0d3001ac30122435,mbgalarneau
5fd6487e0d3001ac30122436,massyet
5fd6487e0d3001ac30122437,elrond3737
5fd6487e0d3001ac30122438,aliasadam
5fd6487e0d3001ac30122439,dsmitty
5fd6487e0d3001ac3012243a,zeo212
5fd6487e0d3001ac3012243b,3ripmav
5fd6487e0d3001ac3012243c,knollusk
5fd6487e0d3001ac3012243d,randy heller
5fd6487e0d3001ac3012243e,af01
5fd6487e0d3001ac3012243f,slugger
5fd6487e0d3001ac30122440,txmomof3boyz
5fd6487e0d3001ac30122441,stebbi57
5fd6487e0d3001ac30122442,panzermkv
5fd6487e0d3001ac30122443,tkissack
5fd6487e0d3001ac30122444,flyer
5fd6487e0d3001ac30122445,vudujoie
5fd6487e0d3001ac30122446,superpcs
5fd6487e0d3001ac30122447,moondust76
5fd6487e0d3001ac30122448,fridberg
5fd6487e0d3001ac30122449,casinok78
5fd6487e0d3001ac3012244a,johann1947
5fd6487e0d3001ac3012244b,eifelmartin
5fd6487e0d3001ac3012244c,emma4
5fd6487e0d3001ac3012244d,cluegirl
5fd6487e0d3001ac3012244e,gxam
5fd6487e0d3001ac3012244f,pipeweed
5fd6487e0d3001ac30122450,zarkenee
5fd6487e0d3001ac30122451,trojal
5fd6487e0d3001ac30122452,fuzzysilk
5fd6487e0d3001ac30122453,mgreen02
5fd6487e0d3001ac30122454,remigijus
5fd6487e0d3001ac30122455,ernus
5fd6487e0d3001ac30122456,gialaroc
5fd6487e0d3001ac30122457,papiklfish
5fd6487e0d3001ac30122458,ap0ne
5fd6487e0d3001ac30122459,phiv
5fd6487e0d3001ac3012245a,marcf
5fd6487e0d3001ac3012245b,puffin13
5fd6487e0d3001ac3012245c,dingo154
5fd6487e0d3001ac3012245d,blackeagle30
5fd6487e0d3001ac3012245e,yesnomaybe
5fd6487e0d3001ac3012245f,robulous
5fd6487e0d3001ac30122460,dukeboy
5fd6487e0d3001ac30122461,madplato
5fd6487e0d3001ac30122462,flynryan
5fd6487e0d3001ac30122463,svenusling
5fd6487e0d3001ac30122464,skinzniks
5fd6487e0d3001ac30122465,str1anger
5fd6487e0d3001ac30122466,ahnenspross
5fd6487e0d3001ac30122467,teach4u
5fd6487e0d3001ac30122468,pumpkincoach
5fd6487e0d3001ac30122469,katja
5fd6487e0d3001ac3012246a,samoprd22
5fd6487e0d3001ac3012246b,pangur ban
5fd6487e0d3001ac3012246c,tatry
5fd6487e0d3001ac3012246d,theswally
5fd6487e0d3001ac3012246e,vasquez21
5fd6487e0d3001ac3012246f,marciamm
5fd6487e0d3001ac30122470,tapwater12
5fd6487e0d3001ac30122471,purplewurple
5fd6487e0d3001ac30122472,theimp
5fd6487e0d3001ac30122473,ataribill
5fd6487e0d3001ac30122474,ufolek
5fd6487e0d3001ac30122475,slav76
5fd6487e0d3001ac30122476,napoleon1944
5fd6487e0d3001ac30122477,fabian the delayer
5fd6487e0d3001ac30122478,allatoona1864
5fd6487e0d3001ac30122479,kdewar
5fd6487e0d3001ac3012247a,king kazma
5fd6487e0d3001ac3012247b,jarmoaulu
5fd6487e0d3001ac3012247c,humppailves
5fd6487e0d3001ac3012247d,myttyli
5fd6487e0d3001ac3012247e,grohmann
5fd6487e0d3001ac3012247f,mk20336
5fd6487e0d3001ac30122480,santao
5fd6487e0d3001ac30122481,robw01
5fd6487e0d3001ac30122482,superstars
5fd6487e0d3001ac30122483,brad_c_1966
5fd6487e0d3001ac30122484,teddyelf
5fd6487e0d3001ac30122485,jsper
5fd6487e0d3001ac30122486,targetu
5fd6487e0d3001ac30122487,xeplica
5fd6487e0d3001ac30122488,sb_lazarus
5fd6487e0d3001ac30122489,miceu
5fd6487e0d3001ac3012248a,norbert michalczyk
5fd6487e0d3001ac3012248b,rubereaglenest
5fd6487e0d3001ac3012248c,junkyardrat83
5fd6487e0d3001ac3012248d,dom5
5fd6487e0d3001ac3012248e,mitrel
5fd6487e0d3001ac3012248f,p_marco_
